qid,tokens,ground_truth,model_answer,correct_strict,correct_lenient
0,22508,"\left( 3, \frac{\pi}{2} \right)","\left(3,\ \dfrac{\pi}{2}\right)",0,1
1,153726,p - q,p - q,1,1
2,35814,\frac{14}{3},\dfrac{14}{3},1,1
3,25539,9,9,1,1
4,78552,\text{Evelyn},\text{Evelyn},1,1
5,67006,42,42,1,1
6,88041,27,27,1,1
7,87103,90^\circ,90,0,1
8,23027,3\sqrt{13},3\sqrt{13},1,1
9,374430,4,4,1,1
10,175703,2220,2220,1,1
11,180516,\frac{3}{56},\dfrac{3}{56},1,1
12,94998,284,284,1,1
13,41853,5,5,1,1
14,77987,\sqrt{51},\sqrt{51},1,1
15,74791,6 - 5i,6-5i,1,1
16,40973,-50,-50,1,1
17,289851,\pi,\pi,1,1
18,472832,28,68,0,0
19,193991,3,3,1,1
20,15172,6+9i,6+9i,1,1
21,295125,13535,13535,1,1
22,78326,5,5,1,1
23,77868,x=5,5,1,1
24,149727,10,10,1,1
25,139851,"1,-2","-2,1",0,0
26,343363,144,144,1,1
27,22871,78,78,1,1
28,21326,-2 + 7i,-2+7i,1,1
29,71013,225,225,1,1
30,55192,52_8,52,0,0
31,24233,11\sqrt2,11\sqrt{2},1,1
32,169159,720,720,1,1
33,79544,\frac{243}{625},\dfrac{243}{625},1,1
34,78336,-125,-125,1,1
35,45315,3,3,1,1
36,58087,"3, 5, 7","3,\ 5,\ 7",0,1
37,78653,72,72,1,1
38,14861,2000,2000,1,1
39,41713,23,23,1,1
40,42374,12,12,1,1
41,217504,17,17,1,1
42,23039,4,4,1,1
43,369149,70 \sqrt{2},70\sqrt{2},1,1
44,72079,1.25,1.25,1,1
45,36088,2,2,1,1
46,155040,6,6,1,1
47,56759,5,5,1,1
48,20047,\frac{3}{2},\dfrac{3}{2},1,1
49,18297,83,83,1,1
50,105271,203,203,1,1
51,72165,x^5 - x^4 + x^3 - x^2 + x - 1,x^5 - x^4 + x^3 - x^2 + x - 1,1,1
52,59297,12,12,1,1
53,22325,-\frac{\pi}{6},-\dfrac{\pi}{6},1,1
54,18104,0.15,0.15,1,1
55,56009,3,3,1,1
56,18540,11,11,1,1
57,37161,16,16,1,1
58,37118,9901,9901,1,1
59,25171,5,5,1,1
60,227215,"(6,31,-1)","(6,\ 31,\ -1)",0,1
61,430124,-256,-256,1,1
62,144019,4,4,1,1
63,99951,10,10,1,1
64,211249,\frac{35}{64},\dfrac{35}{64},1,1
65,14174,1,1,1,1
66,38224,x^3+3x-6,x^{3} + 3x - 6,1,1
67,49345,10,10,1,1
68,130454,46,46,1,1
69,87130,-1,-1,1,1
70,42078,40_9,40_9,1,1
71,150305,2516_8,2516,0,0
72,45853,3,3,1,1
73,57023,\frac{3\sqrt{3}}{4},\dfrac{3\sqrt{3}}{4},1,1
74,42124,\cot x,\cot x,1,1
75,53411,\frac{11}{36},\dfrac{11}{36},1,1
76,122580,0,0,1,1
77,12295,4,4,1,1
78,70981,"(-2,1)","(-2,\ 1)",0,1
79,11778,2,2,1,1
80,282361,501,501,1,1
81,34358,3,3,1,1
82,272574,\frac{3}{2},\dfrac{3}{2},1,1
83,164672,2,2,1,1
84,33812,-1,-1,1,1
85,28811,\sqrt{5},\sqrt{5},1,1
86,13005,240,240,1,1
87,58265,1,1,1,1
88,241994,2,2,1,1
89,52575,21,21,1,1
90,25295,\frac{3}{2},\dfrac{3}{2},1,1
91,86747,1,1,1,1
92,88016,\frac{448}{15625},\dfrac{448}{15625},1,1
93,36846,33,33,1,1
94,474376,80,80,1,1
95,74853,-4,-4,1,1
96,295125,1 \pm \sqrt{19},"1-\sqrt{19},\ 1+\sqrt{19}",0,0
97,41012,\text{east},\text{east},1,1
98,14972,2k+2,2k+2,1,1
99,103532,\begin{pmatrix} -1/3 \\ 2/3 \\ 5/3 \end{pmatrix},\begin{pmatrix} -\dfrac{1}{3} \\[1mm] \dfrac{2}{3} \\[1mm] \dfrac{5}{3} \end{pmatrix},0,0
100,236564,145^\circ,145,0,1
101,347954,850,850,1,1
102,21071,(a+5)(b+2),(a+5)(b+2),1,1
103,565667,"(3,4]","(3,4]",1,1
104,149526,40,40,1,1
105,869453,29,29,1,1
106,69448,\frac43,\dfrac{4}{3},1,1
107,43146,9,9,1,1
108,230857,2,2,1,1
109,160214,120^\circ,120,0,1
110,421146,504,504,1,1
111,43713,210,210,1,1
112,202009,13,13,1,1
113,71097,8000,8000,1,1
114,46698,-5,-5,1,1
115,45364,1260,1260,1,1
116,23935,2,2,1,1
117,25087,3,3,1,1
118,216510,81,81,1,1
119,288817,-9,-9,1,1
120,143523,\text{even},\text{even},1,1
121,15652,6,6,1,1
122,22529,9,9,1,1
123,212022,8,8,1,1
124,109424,\frac{11}{2},\dfrac{11}{2},1,1
125,46801,-3,-3,1,1
126,197620,1+274i,1+274i,1,1
127,67572,4210_{5},4210,1,1
128,134056,36,36,1,1
129,149385,\frac{3840}{289},\dfrac{3840}{289},1,1
130,100914,13,13,1,1
131,38291,8,8,1,1
132,39760,4,4,1,1
133,218916,120,120,1,1
134,154349,16,16,1,1
135,63046,9,9,1,1
136,791374,64,64,1,1
137,90126,204_5,204_5,1,1
138,121381,\frac{1}{3},\dfrac{1}{3},1,1
139,219366,1,1,1,1
140,70327,13,13,1,1
141,79324,2,2,1,1
142,343099,28800,2 \times (5!)^,1,1
143,51965,3 \sqrt{5},3\sqrt{5},1,1
144,13280,"(15,-29)","(15,\ -29)",1,1
145,151894,-2,-2,1,1
146,44273,\frac{\sqrt{3}}{3},\dfrac{\sqrt{3}}{3},1,1
147,174775,16,16,1,1
148,14634,11,11,1,1
149,69693,49,49,1,1
150,236691,1,1,1,1
151,175438,144,144,1,1
152,201604,8,8,1,1
153,85814,\frac{2}{21},\dfrac{2}{21},1,1
154,675606,2\sqrt{113},4\sqrt{29},0,0
155,158264,\frac{1}{4},\dfrac{1}{4},1,1
156,267835,30^\circ,30,0,1
157,187441,\frac65,\dfrac{6}{5},1,1
158,49992,2107,2107,1,1
159,51732,3.21,3.21,1,1
160,35477,18,18,1,1
161,15577,6,6,1,1
162,81434,\dfrac{17}{50},\dfrac{17}{50},1,1
163,210710,-\frac{35}{9},-\dfrac{35}{9},1,1
164,172436,-\sqrt{3},-\sqrt{3},1,1
165,29929,\frac{4}{9},\dfrac{4}{9},1,1
166,372045,\frac{270}7\text{ degrees},\dfrac{270}{7},0,0
167,17196,65,65,1,1
168,850666,19,15,0,0
169,20803,12,12,1,1
170,144840,1736,1736,1,1
171,28351,\frac{13}{15},\dfrac{13}{15},1,1
172,28238,350,350,1,1
173,424833,4,4,1,1
174,59341,2,2,1,1
175,131149,3,3,1,1
176,134400,.0000672,0.0000672,1,1
177,233806,30^\circ,30,0,1
178,26977,60,60,1,1
179,59950,5x - 7y + 11z + 4 = 0,5x-7y+11z+4=,1,1
180,62765,3,3,1,1
181,64563,\frac{\sqrt{3}}{3},\dfrac{\sqrt{3}}{3},1,1
182,16117,1251,1251,1,1
183,241636,23,23,1,1
184,267386,"(2,\infty)","(2,\infty)",1,1
185,18432,1,1,1,1
186,129321,7,7,1,1
187,20402,7,7,1,1
188,220299,6,6,1,1
189,705297,160,160,1,1
190,94776,\frac{13}{18},\dfrac{13}{18},1,1
191,13205,0,0,1,1
192,57653,30,30,1,1
193,211786,4,4,1,1
194,206660,\frac{1}{4},\dfrac{1}{4},1,1
195,66027,24,24,1,1
196,19678,1600,1600,1,1
197,221054,6,6,1,1
198,101448,"10,\!080",10080,1,1
199,12159,17,17,1,1
200,81933,40,40,1,1
201,114787,66,66,1,1
202,95885,\frac{2}{3},\dfrac{2}{3},1,1
203,58629,12,12,1,1
204,708312,0,0,1,1
205,63937,\begin{pmatrix} -2 \\ -14 \\ -7 \end{pmatrix},\begin{pmatrix} -2 \\ -14 \\ -7 \end{pmatrix},1,1
206,25554,"\left( \frac{3}{2}, -13 \right)","\left( \dfrac{3}{2},\ -13 \right)",1,1
207,21485,28,28,1,1
208,75278,1,1,1,1
209,36164,16,16,1,1
210,258836,10,10,1,1
211,34070,5,5,1,1
212,39572,56,56,1,1
213,140724,2,2,1,1
214,71831,110,110,1,1
215,29167,2,2,1,1
216,55485,6,6,1,1
217,323103,"11,\! 111,\! 111,\! 100",11111111100,0,1
218,10866,"(-1,6)","(-1,\ 6)",1,1
219,152734,\frac{1}{2},\dfrac{1}{2},1,1
220,51804,\frac{16}{27},\dfrac{16}{27},1,1
221,192250,900,900,1,1
222,224552,54,54,1,1
223,196025,14,14,1,1
224,161651,\frac{9}{256},\dfrac{9}{256},1,1
225,26938,11,11,1,1
226,130621,3,3,1,1
227,22593,\text{(C)},\text{C},1,1
228,146742,288 \pi,288\pi,1,1
229,23228,90,90,1,1
230,224414,\frac{16}{5},\dfrac{16}{5},1,1
231,24585,10,10,1,1
232,165127,\frac{1997}{2},\dfrac{1997}{2},1,1
233,323896,30^\circ,30,0,1
234,56190,34,34,1,1
235,31152,\frac 59,\dfrac{5}{9},0,1
236,270056,12,12,1,1
237,40757,22,22,1,1
238,112626,-4,-4,1,1
239,441417,16,16,1,1
240,415805,116,154,0,0
241,109582,17,17,1,1
242,302455,"\$32,\!348",32348,0,0
243,67901,3,3,1,1
244,132350,8,8,1,1
245,69841,-13x+3,-13x+3,1,1
246,54952,8,8,1,1
247,62036,\frac{10}{11},\dfrac{10}{11},1,1
248,105313,\begin{pmatrix} -1 & 0 \\ 0 & -1 \end{pmatrix},\begin{pmatrix} -1 & 0 \\ 0 & -1 \end{pmatrix},1,1
249,75463,17,17,1,1
250,28659,13,13,1,1
251,136654,540,540,1,1
252,46391,81,81,1,1
253,23346,\frac{1}{8},\dfrac{1}{8},1,1
254,76487,28,28,1,1
255,97706,\text{(E)},\text{E},1,1
256,50233,\frac{8}{21},\dfrac{8}{21},1,1
257,23203,864 \mbox{ inches}^2,864,0,0
258,37803,16,16,1,1
259,18529,22,22,1,1
260,62160,120^\circ,120,0,1
261,153625,76^\circ,76,0,1
262,12792,4,4,1,1
263,31780,15,15,1,1
264,487633,1\frac{4}{5},1,0,0
265,23639,4005,4005,1,1
266,29391,\dfrac{33}{100},\dfrac{33}{100},1,1
267,137267,180^\circ,180,0,1
268,31808,1,1,1,1
269,45439,6,6,1,1
270,38094,10,10,1,1
271,77936,333,333,1,1
272,51193,1030,1030,1,1
273,57383,1250,1250,1,1
274,462847,18+2\pi,18+2\pi,1,1
275,21453,7,7,1,1
276,213015,11,11,1,1
277,16116,\sqrt{53},\sqrt{53},1,1
278,35943,255,255,1,1
279,95380,7\pi,7\pi,1,1
280,53199,8,8,1,1
281,412294,36^\circ,36,0,1
282,133619,129,129,1,1
283,26951,1,1,1,1
284,202073,3 \pm 2 \sqrt{2},"-3-2\sqrt{2},\ -3+2\sqrt{2},\ 3-2\sqrt{2},\ 3+2\sqrt{2}",0,0
285,226820,440,440,1,1
286,401572,\frac{17}{21},\dfrac{17}{21},1,1
287,100954,36,36,1,1
288,95657,7,7,1,1
289,87223,16,16,1,1
290,50166,4,4,1,1
291,128866,63,63,1,1
292,134018,898,898,1,1
293,43878,"\left(\frac{3}{5},\frac{8}{3}\right]","\left( \dfrac{3}{5},\ \dfrac{8}{3} \right]",1,1
294,171987,58,58,1,1
295,401206,11,11,1,1
296,119857,\text{(B)},\text{(B)},1,1
297,73774,103,103,1,1
298,51819,\begin{pmatrix} -18 \\ -49 \\ 96 \end{pmatrix},\begin{pmatrix} -18 \\ -49 \\ 96 \end{pmatrix},1,1
299,134965,63,63,1,1
300,231474,12,12,1,1
301,142812,5.4 \text{ cents},5.4,0,0
302,230425,5,5,1,1
303,239036,28,28,1,1
304,74700,9,9,1,1
305,34006,\frac9{19},\dfrac{9}{19},1,1
306,276704,6,6,1,1
307,95767,"(-\infty, 0]","(-\infty,0]",1,1
308,310352,1+2\sqrt{3},1 + 2\sqrt{3},1,1
309,235750,14,14,1,1
310,47104,49,49,1,1
311,102054,3,3,1,1
312,20859,"(5,\infty)","(5,\infty)",1,1
313,24444,12\pi,12\pi,1,1
314,33684,"(2,4)","(2,\ 4)",1,1
315,232076,41,41,1,1
316,78810,12,12,1,1
317,179692,0,0,1,1
318,31239,\frac{11+9a}{20},\dfrac{11 + 9a}{20},1,1
319,23726,-128,-128,1,1
320,126693,-\frac{24}{25},-\dfrac{24}{25},1,1
321,45245,10,10,1,1
322,11873,-1,-1,1,1
